Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
MT	TL	2.72022087156	0.397388190485	4.41454799894	0.107950274534	-5.81884699829	0.555
MN	MT	4.1439415474	0.333976773172	2.72022087156	0.397388190485	3.87877298874	1.0
MN	TA	4.1439415474	0.333976773172	5.12276827988	0.170882042058	-3.68986316118	1.0
TC	TA	3.46225322233	0.387345425789	5.12276827988	0.170882042058	-5.54681651176	1.0
MN	SM	4.1439415474	0.333976773172	2.45915256692	0.467261720637	4.14845580166	0.975
MN	TC	4.1439415474	0.333976773172	3.46225322233	0.387345425789	1.88495552076	1.0
TL	TC	4.41454799894	0.107950274534	3.46225322233	0.387345425789	3.34923150513	0.465
TL	SM	4.41454799894	0.107950274534	2.45915256692	0.467261720637	5.76631230552	0.21
MT	SM	2.72022087156	0.397388190485	2.45915256692	0.467261720637	0.601908365138	1.0
SM	TC	2.45915256692	0.467261720637	3.46225322233	0.387345425789	-2.33731576431	1.0
MT	TC	2.72022087156	0.397388190485	3.46225322233	0.387345425789	-1.89101518693	1.0
TL	TA	4.41454799894	0.107950274534	5.12276827988	0.170882042058	-4.95525964195	1.0
MN	TL	4.1439415474	0.333976773172	4.41454799894	0.107950274534	-1.09033213542	1.0
MT	TA	2.72022087156	0.397388190485	5.12276827988	0.170882042058	-7.85469140001	1.0
SM	TA	2.45915256692	0.467261720637	5.12276827988	0.170882042058	-7.57127413867	1.0
